
375	394	724	246	928	376	507	901	941	468
979	237	491	331	886	86	336	290	821	407
156	864	304	751	653	854	2	704	495	120
479	189	950	656	624	23	417	827	405	157
816	569	496	633	827	110	477	434	524	362
930	591	801	175	215	745	747	338	520	534
685	166	38	982	37	575	847	340	774	947
120	774	634	176	434	20	434	868	594	341
484	939	341	565	74	525	965	315	533	912
606	327	887	420	416	550	593	888	370	182
857	428	813	259	46	858	131	29	983	805
65	751	680	797	885	812	612	348	52	714
243	121	184	270	968	103	174	633	187	2
512	158	315	510	381	290	708	711	318	377
156	383	986	877	626	733	776	185	594	782
861	203	977	80	281	906	592	270	251	406
130	473	354	818	144	712	49	911	235	318
335	966	608	852	722	428	665	474	13	196
980	944	801	855	334	566	286	768	411	569
413	253	745	24	928	864	575	559	374	211
139	829	431	257	441	430	318	768	870	705
674	567	300	588	536	723	336	412	351	224
417	93	502	685	948	699	403	74	104	8
287	46	866	828	41	21	204	258	154	190
456	847	591	77	904	791	733	221	981	507
188	63	592	693	850	537	232	397	398	589
359	217	247	53	837	128	703	260	534	476
891	627	989	607	98	485	517	427	147	653
44	51	301	643	966	110	66	216	961	852
704	738	935	507	484	160	368	6	491	393
218	429	841	89	515	242	613	447	424	433
269	624	778	976	629	535	987	952	722	212
363	868	373	605	345	588	549	325	447	928
203	421	898	645	368	495	889	266	247	820
587	155	476	793	746	287	510	987	961	131
605	673	783	921	808	963	267	992	650	608
128	549	846	893	184	304	166	475	970	511
77	683	378	735	976	129	846	97	925	97
329	348	21	84	841	437	940	212	271	870
694	852	362	1	117	52	682	981	346	988
170	12	419	303	469	11	888	496	767	932
638	816	322	206	129	472	696	470	939	583
45	937	918	55	576	312	925	198	292	725
651	610	433	908	986	385	720	34	766	313
309	924	642	153	540	837	429	821	910	760
885	960	171	794	444	552	785	640	273	874
807	11	204	565	271	228	851	222	992	576
372	633	786	542	668	848	930	622	152	52
587	814	983	269	190	961	101	705	780	484
994	646	577	931	714	163	785	454	861	318
137	907	942	432	579	211	636	837	828	577
50	121	364	71	637	466	502	639	435	497
763	2	707	618	82	451	59	563	13	994
748	831	807	309	526	227	283	474	547	836
132	181	692	277	793	40	935	867	446	773
486	696	614	745	458	813	650	611	543	347
109	174	532	567	507	395	6	999	859	9
170	721	755	29	106	548	213	192	197	14
527	334	95	86	520	237	633	95	500	75
850	661	681	791	653	863	569	913	503	746
502	701	170	454	196	323	89	928	572	185
536	766	130	996	237	763	872	2	512	407
151	255	146	347	728	671	851	971	558	580
240	168	809	694	661	64	859	367	431	712
489	666	162	245	690	782	826	184	761	651
142	850	723	729	69	79	756	709	982	246
512	969	443	420	869	714	385	430	851	483
687	279	162	945	304	599	854	342	630	972
840	993	122	919	447	615	116	499	689	982
845	739	322	488	940	975	242	234	679	918
266	184	184	454	340	629	231	407	258	396
118	786	31	480	155	18	129	563	793	44
901	640	736	859	147	280	845	711	658	656
476	109	671	279	936	834	238	121	222	857
242	976	721	275	187	911	258	694	509	359
687	700	694	647	622	608	726	619	289	316
53	949	707	91	443	742	49	15	828	409
70	841	540	911	16	725	309	228	731	142
694	557	559	251	198	649	656	472	577	603
892	912	484	294	225	107	737	242	227	648
357	597	262	265	962	197	666	692	692	781
101	313	562	275	147	678	675	683	159	345
509	953	456	65	143	792	94	47	14	270
116	400	805	810	205	928	148	865	458	794
51	235	737	332	853	405	35	92	490	635
658	732	953	228	303	528	664	255	585	405
267	812	421	524	692	681	101	522	610	863
133	634	850	996	684	164	221	429	293	32
611	604	72	85	927	275	738	679	148	820
214	164	354	425	665	175	420	484	64	963
275	902	767	883	574	529	586	905	15	124
64	670	933	397	798	894	710	461	614	210
108	111	139	932	605	679	723	594	610	922
367	764	154	645	353	376	81	598	582	899
724	629	897	214	895	293	42	449	936	934
185	242	772	900	616	457	445	927	103	348
585	700	333	259	318	60	2	882	955	12
719	605	91	924	323	108	92	131	649	204
37	792	243	456	227	562	525	950	838	287
989	45	826	854	678	163	108	448	173	468
316	454	920	495	841	407	391	823	653	310
44	51	981	265	649	690	675	577	81	516
972	154	410	924	990	969	268	404	543	855
723	960	810	513	451	992	86	362	297	704
278	445	720	681	157	513	525	585	479	525
220	187	514	418	773	917	339	972	61	19
965	420	953	905	248	566	483	968	32	848
315	188	395	832	768	689	773	786	785	786
761	477	926	817	535	265	357	859	386	607
152	190	408	979	886	382	247	460	138	256
526	976	211	687	729	88	514	419	154	361
853	594	159	208	536	805	764	740	735	518
819	976	960	506	683	77	874	348	378	605
33	813	56	210	962	788	209	186	522	30
434	765	990	961	709	368	216	117	820	101
145	23	410	412	307	400	387	863	564	897
87	146	251	686	318	224	50	242	974	826
203	55	227	82	971	39	417	686	989	103
565	466	94	597	184	868	947	612	30	642
91	1000	919	389	537	946	214	177	401	733
635	496	120	874	743	612	691	978	491	663
201	991	768	900	812	921	655	638	826	985
536	505	122	65	205	806	509	537	405	154
988	96	386	334	112	650	680	804	790	384
179	191	586	740	92	5	976	449	156	318
717	358	62	701	531	376	474	198	900	489
581	946	915	72	956	962	537	768	583	525
588	687	429	945	925	759	99	448	291	950
862	447	633	680	225	591	737	159	207	446
363	745	546	284	662	800	702	317	28	634
84	246	648	856	663	297	963	778	305	354
821	359	349	172	754	420	999	481	856	408
614	67	210	742	540	194	258	76	728	911
165	803	120	838	148	876	849	619	768	1000
747	144	163	209	783	101	89	123	874	184
636	892	886	575	102	205	317	87	901	695
342	773	42	901	665	638	295	919	802	302
136	859	810	751	329	490	526	622	524	168
205	507	28	447	653	566	484	380	755	495
372	63	444	131	608	60	402	465	194	24
523	893	810	217	169	648	724	200	628	713
147	251	475	426	836	162	26	656	685	381
245	834	449	479	764	951	869	126	767	52
523	183	695	824	342	906	746	616	595	740
915	709	712	823	413	820	149	241	81	285
58	840	589	642	937	516	65	16	234	406
691	800	648	800	481	891	119	810	373	176
397	77	299	456	992	834	647	307	877	299
550	227	872	632	79	115	135	954	904	829
537	929	430	195	416	964	810	839	375	207
27	470	170	241	711	697	387	154	749	608
655	177	491	421	662	332	894	444	144	147
523	901	221	207	991	63	127	734	916	738
597	320	954	323	565	811	460	912	361	838
309	625	638	412	905	387	10	606	922	895
166	237	989	87	262	758	365	377	616	445
239	485	19	293	88	49	823	301	31	824
9	707	711	578	186	326	872	106	612	662
450	180	363	92	19	694	908	319	744	789
59	962	379	630	902	647	649	937	70	454
670	385	135	155	1000	467	348	417	338	630
938	981	73	41	289	63	621	55	478	367
140	230	561	938	7	936	294	586	154	725
591	23	235	951	721	996	476	725	309	19
815	95	431	704	674	646	553	290	616	315
347	221	975	776	795	404	596	194	177	416
586	479	114	535	18	991	701	447	415	325
477	456	887	386	125	329	728	64	272	602
740	241	250	470	203	162	640	846	690	305
854	302	494	361	319	131	231	777	325	847
299	947	563	26	937	52	124	792	325	462
661	486	379	362	744	740	977	157	527	395
28	166	269	487	566	634	150	379	676	963
910	514	637	373	175	70	362	245	637	113
756	576	179	32	975	894	696	757	849	786
361	193	694	518	82	549	696	898	362	128
747	85	392	52	595	247	785	408	129	109
153	561	306	243	547	920	283	201	429	710
91	404	400	106	532	105	422	772	285	391
607	253	817	40	755	707	791	458	765	535
503	5	861	932	58	867	267	336	654	383
830	827	727	624	508	666	467	262	814	130
786	834	638	882	347	399	70	403	27	220
383	895	939	261	571	487	934	827	272	647
167	753	32	594	454	20	684	51	862	527
412	122	584	95	154	12	373	781	681	252
663	281	411	219	106	401	64	286	144	124
728	1000	92	640	327	351	338	936	31	537
812	778	445	342	772	366	693	135	301	985
489	17	505	859	580	912	603	950	914	157
688	823	764	435	460	128	912	243	919	514
664	249	773	449	878	288	608	198	864	500
482	915	496	425	132	754	454	868	102	873
778	84	940	402	86	647	39	478	571	248
885	693	330	234	979	385	893	849	394	58
593	234	437	936	151	206	100	345	188	757
29	695	926	46	916	354	212	105	910	785
931	619	354	515	899	398	19	339	464	207
606	276	783	498	875	312	315	472	7	562
649	582	385	425	565	946	42	628	258	748
783	501	285	743	757	193	744	362	588	785
496	388	588	18	643	284	830	458	186	343
149	259	256	613	206	556	598	224	426	634
949	520	240	120	686	358	170	683	960	603
88	979	752	974	791	735	667	429	93	430
605	885	386	903	205	895	393	588	264	41
549	748	986	295	901	444	899	969	692	207
507	674	540	632	268	994	355	291	668	130
662	874	659	120	227	248	150	395	627	810
185	747	480	766	256	246	135	349	805	304
198	75	412	501	606	15	525	696	260	99
362	983	954	608	755	750	927	327	374	102
608	992	596	784	332	2	242	264	167	235
841	200	127	185	544	533	214	290	481	699
